,City,Temperature,Humidity,Cloudiness,Wind Speed (mph),Latitude,Longitude,Country,Datetime
247,broken hill,68.05,38,0,10.56,-31.95,141.43,AU,1579990969
248,bambous virieux,75.4,83,75,12.75,-20.34,57.76,MU,1579990969
249,santa maria,86.0,45,0,4.7,-29.68,-53.81,BR,1579990969
250,manaure,78.4,83,77,14.63,11.78,-72.44,CO,1579990969
251,dongying,32.45,55,100,4.45,37.46,118.49,CN,1579990969
252,broome,34.61,97,100,0.83,42.25,-75.83,US,1579990969
253,kamaishi,26.69,57,100,4.23,39.27,141.88,JP,1579990970
254,comodoro rivadavia,66.25,60,0,4.32,-45.87,-67.5,AR,1579990501
255,matamoros,64.2,46,100,4.99,25.53,-103.25,MX,1579990970
256,shaoxing,46.98,94,100,3.33,30.01,120.57,CN,1579990924
257,lisala,73.27,32,33,2.1,2.15,21.52,CD,1579990970
258,vaitape,82.13,77,0,12.93,-16.52,-151.75,PF,1579990970
259,ampanihy,73.0,65,0,12.03,-24.7,44.75,MG,1579990971
260,teeli,0.5,68,93,1.45,51.03,90.23,RU,1579990971
261,saryozek,26.26,96,100,1.54,44.36,77.98,KZ,1579990971
262,praia,72.16,68,61,11.54,14.92,-23.51,CV,1579990971
263,fort nelson,12.2,92,68,0.29,58.81,-122.7,CA,1579990971
264,carutapera,82.71,80,100,13.33,-1.2,-46.02,BR,1579990971
265,port-gentil,83.35,78,5,14.03,-0.72,8.78,GA,1579990972
266,adrar,80.53,27,67,7.34,20.5,-10.07,MR,1579990972
267,labrea,93.06,51,100,2.21,-7.26,-64.8,BR,1579990792
268,havre-saint-pierre,23.56,80,100,9.01,50.23,-63.6,CA,1579990941
269,mount gambier,61.81,92,70,5.19,-37.83,140.77,AU,1579990972
270,shilka,-10.79,94,89,3.69,51.85,116.03,RU,1579990972
271,hobyo,78.6,79,98,17.72,5.35,48.53,SO,1579990968
272,ossora,29.75,94,100,32.61,59.24,163.07,RU,1579990973
273,aasiaat,8.98,96,100,6.17,68.71,-52.87,GL,1579990973
274,airai,68.27,93,100,1.21,-8.93,125.41,TL,1579990970
275,henderson,63.59,33,100,4.34,36.04,-114.98,US,1579990749
276,necochea,68.56,51,0,8.99,-38.55,-58.74,AR,1579990973
277,inhambane,78.8,77,100,13.2,-23.86,35.38,MZ,1579990973
278,torbay,18.03,79,0,5.01,47.67,-52.73,CA,1579990621
279,palmer,40.55,93,90,8.05,42.16,-72.33,US,1579990953
280,puerto el triunfo,93.0,29,0,2.19,13.28,-88.55,SV,1579990974
281,lompoc,67.23,82,1,8.05,34.64,-120.46,US,1579990956
282,tuatapere,63.64,53,96,1.45,-46.13,167.68,NZ,1579990955
283,victoria,59.85,93,100,1.01,22.29,114.16,HK,1579990681
284,khandyga,-48.6,98,37,0.16,62.67,135.6,RU,1579990974
285,papara,84.0,77,83,13.0,-3.98,-38.73,BR,1579990975
